Category,Tense,CEFR_Level,Question,Key_Grammar,Topic_Tags
Usual Activities,Simple Present,B1-B2,How do you typically structure your mornings on weekdays and what part of the routine sets the tone for your day?,Simple Present with frequency adverbs,routine;habits;daily life
Usual Activities,Simple Present,B1-B2,What habits help you stay productive when you don't feel motivated?,Simple Present; helping verbs,productivity;habits;motivation
Usual Activities,Simple Present,B1-B2,How do you balance exercise work and downtime during a normal week?,Simple Present; question formation,balance;health;routine
Usual Activities,Simple Present,B1-B2,What small daily choices do you make that have a big impact over time?,Simple Present; relative clauses,decisions;habits;impact
Usual Activities,Simple Present,B1-B2,How do you usually handle unexpected interruptions during your workday?,Simple Present with adverbs,problem-solving;work;flexibility
Usual Activities,Simple Present,B1-B2,Which hobbies do you regularly pursue and why do they stick?,Simple Present; question words,hobbies;leisure;persistence
Factual Descriptions,Simple Present,B2-C1,How does your city's public transport system operate during peak hours?,Simple Present for facts; third person singular,systems;urban life;transport
Factual Descriptions,Simple Present,B2-C1,What steps does your organization follow to approve a new project?,Simple Present; sequencing,processes;work;procedures
Factual Descriptions,Simple Present,C1,How does photosynthesis convert light energy into chemical energy?,Simple Present for scientific facts,science;processes;biology
Factual Descriptions,Simple Present,C1,What distinguishes a legal precedent from a statute in your jurisdiction?,Simple Present; academic vocabulary,law;definitions;comparison
Factual Descriptions,Simple Present,B2-C1,How does your device's backup system store and retrieve data?,Simple Present for technical descriptions,technology;systems;data
Factual Descriptions,Simple Present,C1,What features define a high-context culture compared with a low-context one?,Simple Present; comparison structures,culture;sociology;communication
Opinions,Simple Present,B1-B2,What makes a presentation persuasive in your experience?,Simple Present; opinion markers,communication;persuasion;presentations
Opinions,Simple Present,B2,Which is more important for career growth: specialization or versatility? Why?,Comparative structures; Simple Present,career;choices;comparison
Opinions,Simple Present,B2-C1,Do deadlines improve creativity or stifle it? Explain your reasoning.,Yes/No questions; opinion justification,creativity;work;time management
Opinions,Simple Present,B2-C1,What criteria do you use to judge whether news is reliable?,Simple Present; embedded questions,media literacy;critical thinking;news
Opinions,Simple Present,B2-C1,Which skill should schools prioritize more and why: coding media literacy or financial literacy?,Modal should; comparative structures,education;skills;priorities
Opinions,Simple Present,B2-C1,Is remote work better for most teams? Defend your stance with examples.,Yes/No questions; argumentation,work;remote work;teamwork
Possessions,Simple Present,A2-B1,What tools or resources do you currently have that most improve your work?,Have/has; relative clauses,work;tools;resources
Possessions,Simple Present,B1,Which possessions do you value for their utility rather than sentimental reasons?,Have/own; comparative structures,values;possessions;utility
Possessions,Simple Present,B1-B2,What subscriptions do you maintain and which give the best value?,Simple Present; comparison,services;value;subscriptions
Possessions,Simple Present,B1-B2,Which books do you own that you often recommend to others and why?,Possessive forms; relative clauses,books;recommendations;reading
Possessions,Simple Present,B1-B2,What equipment do you have that you underuse and what would help you use it more?,Have/has; conditional structures,possessions;usage;improvement
Possessions,Simple Present,B1-B2,What apps belong on your must-install list for a new device?,Belong; possessive structures,technology;apps;essentials
Ability Descriptions,Simple Present,B1-B2,What tasks can you complete under pressure that you struggle with in calm settings?,Can/can't; relative clauses,ability;pressure;contrast
Ability Descriptions,Simple Present,B2,Which complex topics can you explain clearly to a beginner?,Can; adverbs of manner,teaching;communication;ability
Ability Descriptions,Simple Present,B1-B2,In which situations can you multitask effectively and when can't you?,Can/can't; contrast structures,ability;multitasking;situations
Ability Descriptions,Simple Present,B2,What creative skills can you bring to a team that others might overlook?,Can; modal might; relative clauses,skills;teamwork;creativity
Ability Descriptions,Simple Present,B2,What constraints limit what you can accomplish in a typical day?,Can; embedded questions,limitations;time management;ability
Ability Descriptions,Simple Present,B2,How quickly can you learn a new tool and what accelerates that process?,Can; question formation; causation,learning;ability;acceleration
Current Happenings,Present Continuous,B1-B2,What projects are you currently working on and what's progressing well right now?,Present Continuous; time markers,work;projects;progress
Current Happenings,Present Continuous,B1-B2,Which habits are you trying to build at the moment and how are you tracking them?,Present Continuous with 'trying to',habits;self-improvement;tracking
Current Happenings,Present Continuous,B1-B2,What challenges are you facing this week that you didn't anticipate?,Present Continuous; past simple contrast,challenges;unexpected;current
Current Happenings,Present Continuous,B2,How is your team handling feedback from the latest review cycle?,Present Continuous; question formation,teamwork;feedback;current
Current Happenings,Present Continuous,B2-C1,What trends are you noticing in your industry this quarter?,Present Continuous for observations,trends;industry;observation
Current Happenings,Present Continuous,B1-B2,Which tasks are you postponing today and why?,Present Continuous; causation,procrastination;tasks;reasons
Commands,Imperative,B1-B2,Outline the steps for completing the task then execute the first two steps.,Imperative; sequencing,instructions;action;execution
Commands,Imperative,B1-B2,Describe your goal in one sentence. Now prioritize three actions—do them in order.,Imperative; sequencing adverbs,goals;priorities;action
Commands,Imperative,B2,Identify your biggest bottleneck. Remove one obstacle within the next hour.,Imperative; time expressions,problem-solving;action;time management
Commands,Imperative,B1-B2,Summarize the meeting in three bullet points. Share the key decision first.,Imperative; summarization,meetings;communication;priorities
Commands,Imperative,B2,Write a concise email request (under 100 words). Send it before noon.,Imperative; time constraints,writing;communication;deadlines
Commands,Imperative,B1-B2,Set a 25-minute timer. Focus on one task. Don't switch contexts.,Imperative; negative commands,focus;time management;productivity
Comments,Simple Present/Continuous,B2-C1,Your introduction is clear but the main claim needs evidence—what source can you add?,Present simple; contrast conjunctions,feedback;writing;evidence
Comments,Simple Present/Continuous,B2-C1,The design looks consistent; however the call-to-action isn't prominent. How can you highlight it?,Present simple; contrast; modal can,feedback;design;improvement
Comments,Present Continuous,B2-C1,I'm noticing repeated terms—where can you replace them with precise alternatives?,Present Continuous for observations,feedback;writing;precision
Comments,Present Continuous,B2-C1,The pace is improving but the transitions still feel abrupt. Where can you add signposting?,Present Continuous; contrast,feedback;improvement;transitions
Comments,Simple Present,C1,This solution is elegant; still how does it handle edge cases?,Present simple; advanced vocabulary,feedback;problem-solving;edge cases
Comments,Simple Present,B2-C1,Your examples are relatable; can you include one counterexample for balance?,Present simple; modal can,feedback;examples;balance
Suggestions,Modal Verbs,B2-C1,You could break the project into milestones—what would the first milestone include?,Could; conditional would,advice;planning;milestones
Suggestions,Modal Verbs,B2-C1,You might test the idea with a small pilot. What metrics would validate it?,Might; conditional would,advice;testing;metrics
Suggestions,Modal Verbs,B2,It may help to define 'done' for each task. What's your definition for this one?,May; infinitive structures,advice;definitions;clarity
Suggestions,Modal Verbs,B2-C1,You should consider a simpler baseline model first—what baseline makes sense here?,Should; comparative structures,advice;simplification;baselines
Suggestions,Modal Verbs,B2-C1,Could you draft two versions and A/B test them? What's your success criterion?,Could; question formation,advice;testing;criteria
Suggestions,Conditional,B2-C1,If time is limited which part should you cut without hurting quality?,First conditional; modal should,advice;prioritization;quality
Mixed Tenses,Simple Present + Present Continuous,B2-C1,What do you usually do to prepare for presentations and what are you working on improving right now?,Simple Present + Present Continuous contrast,preparation;improvement;presentations
Mixed Tenses,Simple Present + Present Continuous,B2-C1,What resources do you have that can help and what skills are you currently developing to use them better?,Have + Present Continuous,resources;development;skills
Mixed Tenses,Simple Present + Present Continuous,B2-C1,What do you believe makes a team effective and how are you testing that belief this month?,Simple Present opinion + Present Continuous action,beliefs;testing;teamwork
Mixed Tenses,Simple Present + Future,B2-C1,What can you already do well and what will you be able to do after completing your next course?,Present ability + Future ability,ability;learning;progression
Mixed Tenses,Simple Present + Present Continuous,B2-C1,What steps does your review process follow and which step are you currently revising?,Simple Present process + Present Continuous action,processes;revision;current work
